labelling_period	chamber	cycle	day_night	CH4_slope	CH4_intercept	delta_sec	Temp_kelvin	R_squared	combined_name	n_total	n_CH4	CH4_mass_grams	flux	Water	V_chamber_m3	A_chamber_m2	n_total_in_chamber	n_ch4_in_chamber	ch4_micrograms_per_second_in_chamber	ch4_micrograms_per_second_per_m2	ch4_micrograms_per_day_per_m2	ch4_micrograms_per_second_per_m2
L3	P01	21	Day	-6.61E-07	1.97703518	28801	301	0.335936212	L3_P01_21	2.01	2.01E-06	3.22E-05	1.88E-11	F	0.168215138	0.12939626	6.810531531	-4.50E-12	-7.20E-05	-0.0006	-48.0631	-0.000556286
L3	P01	16	Night	-7.63E-07	1.996352845	33601	282	0.312952068	L3_P01_16	2.15	2.15E-06	3.45E-05	1.72E-11	F	0.168215138	0.12939626	7.269397131	-5.54E-12	-8.87E-05	-0.0007	-59.2229	-0.00068545
L1	P01	3	Night	3.24E-07	1.917943119	33599	271	0.301289873	L1_P01_3	2.24	2.24E-06	3.59E-05	1.79E-11	F	0.168215138	0.12939626	7.564464911	2.45E-12	3.92E-05	0.0003	26.1797	0.000303006
L1	P01	1	Night	-5.09E-07	1.9403421	38395	276	0.283743312	L1_P01_1	2.2	2.20E-06	3.53E-05	1.54E-11	F	0.168215138	0.12939626	7.427427503	-3.78E-12	-6.05E-05	-0.0005	-40.4228	-0.000467856
L3	P01	25	Day	-7.87E-07	2.00778863	14396	302	0.229814489	L3_P01_25	2.01	2.01E-06	3.22E-05	3.75E-11	F	0.168215138	0.12939626	6.787980102	-5.34E-12	-8.55E-05	-0.0007	-57.1031	-0.000660915
L1	P01	2	Day	-2.05E-06	1.977759097	28800	296	0.216097499	L1_P01_2	2.05	2.05E-06	3.29E-05	1.91E-11	F	0.168215138	0.12939626	6.925574294	-1.42E-11	-2.27E-04	-0.0018	-151.5075	-0.001753559
L3	P01	12	Night	4.42E-07	1.988986648	33600	283	0.191933137	L3_P01_12	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	3.20E-12	5.13E-05	0.0004	34.2279	0.000396156
L1	P01	0	Day	0.00023765	2.268093765	28005	285	0.191558697	L1_P01_0	2.13	2.13E-06	3.42E-05	2.04E-11	F	0.168215138	0.12939626	7.192877161	1.71E-09	2.74E-02	0.2114	18262.1774	0.211367794
L3	P01	11	Day	-6.28E-07	1.99636312	33603	297	0.185862918	L3_P01_11	2.04	2.04E-06	3.27E-05	1.63E-11	F	0.168215138	0.12939626	6.902255862	-4.34E-12	-6.94E-05	-0.0005	-46.3185	-0.000536094
L3	P01	15	Day	-1.92E-07	1.966781903	28801	296	0.146439353	L3_P01_15	2.05	2.05E-06	3.29E-05	1.91E-11	F	0.168215138	0.12939626	6.925574294	-1.33E-12	-2.12E-05	-0.0002	-14.1698	-0.000164002
L3	P01	3	Day	-3.93E-07	1.964657942	23996	289	0.141980371	L3_P01_3	2.1	2.10E-06	3.37E-05	2.35E-11	F	0.168215138	0.12939626	7.093321768	-2.79E-12	-4.46E-05	-0.0003	-29.8053	-0.000344969
L2	P01	3	Night	4.72E-07	1.951931085	28800	279	0.130705832	L2_P01_3	2.17	2.17E-06	3.48E-05	2.03E-11	F	0.168215138	0.12939626	7.347562691	3.47E-12	5.55E-05	0.0004	37.0727	0.000429083
L2	P01	9	Night	3.88E-07	1.953090537	28803	279	0.130049723	L2_P01_9	2.17	2.17E-06	3.48E-05	2.03E-11	F	0.168215138	0.12939626	7.347562691	2.85E-12	4.57E-05	0.0004	30.4870	0.000352858
L4	P01	13	Night	9.67E-07	1.975014017	36000	277	0.104145376	L4_P01_13	5.7	5.70E-06	9.14E-05	4.26E-11	F	0.12939626	0.12939626	5.692779758	5.50E-12	8.81E-05	0.0007	58.7996	0.00068055
L2	P01	7	Night	3.78E-07	1.97864602	28797	282	0.095242647	L2_P01_7	2.15	2.15E-06	3.45E-05	2.01E-11	F	0.168215138	0.12939626	7.269397131	2.75E-12	4.40E-05	0.0003	29.3677	0.000339904
L4	P01	10	Day	1.15E-06	1.908759445	31500	299	0.074828934	L4_P01_10	5.28	5.28E-06	8.47E-05	4.51E-11	F	0.12939626	0.12939626	5.27391302	6.06E-12	9.70E-05	0.0007	64.7885	0.000749867
L3	P01	18	Night	3.40E-07	1.968036402	33606	280	0.070209138	L3_P01_18	2.16	2.16E-06	3.46E-05	1.73E-11	F	0.168215138	0.12939626	7.321321396	2.49E-12	3.98E-05	0.0003	26.5754	0.000307586
L4	P01	5	Night	-4.28E-07	1.865099315	36001	281	0.066551939	L4_P01_5	5.61	5.61E-06	9.00E-05	4.19E-11	F	0.12939626	0.12939626	5.611743747	-2.40E-12	-3.84E-05	-0.0003	-25.6599	-0.000296989
L1	P01	10	Day	8.05E-07	1.973969359	28798	296	0.029056522	L1_P01_10	2.05	2.05E-06	3.29E-05	1.91E-11	F	0.168215138	0.12939626	6.925574294	5.58E-12	8.93E-05	0.0007	59.5982	0.000689794
L1	P01	4	Day	-1.42E-05	2.715614578	26145	298	0.026517967	L1_P01_4	2.03	2.03E-06	3.26E-05	2.09E-11	F	0.168215138	0.12939626	6.879093929	-9.75E-11	-1.56E-03	-0.0121	-1041.8499	-0.012058448
L2	P01	1	Night	-9.73E-08	1.96422467	28805	279	0.021131865	L2_P01_1	2.17	2.17E-06	3.48E-05	2.03E-11	F	0.168215138	0.12939626	7.347562691	-7.15E-13	-1.14E-05	-0.0001	-7.6361	-8.83803E-05
L1	P01	11	Night	-6.72E-08	1.98286651	38393	272	0.011109433	L1_P01_11	2.23	2.23E-06	3.58E-05	1.56E-11	F	0.168215138	0.12939626	7.536654378	-5.07E-13	-8.11E-06	-0.0001	-5.4137	-6.26587E-05
L1	P01	5	Night	-1.61E-08	1.944854732	43199	271	0.002216285	L1_P01_5	2.24	2.24E-06	3.59E-05	1.39E-11	F	0.168215138	0.12939626	7.564464911	-1.22E-13	-1.94E-06	0.0000	-1.2986	-1.50305E-05
L1	P01	6	Day	-2.63E-07	2.02614693	23994	294	0.001000384	L1_P01_6	2.06	2.06E-06	3.30E-05	2.31E-11	F	0.168215138	0.12939626	6.972687044	-1.84E-12	-2.94E-05	-0.0002	-19.6076	-0.00022694
L2	P02	10	Day	6.06E-06	1.96414984	4806	286	1	L2_P02_10	2.12	2.12E-06	3.40E-05	1.19E-10	H	0.168215138	0.12939626	7.167727241	4.34E-11	6.95E-04	0.0054	463.8241	0.005368335
L2	P02	4	Day	-1.49E-06	1.980945822	38397	302	0.984060807	L2_P02_4	2.01	2.01E-06	3.22E-05	1.41E-11	H	0.168215138	0.12939626	6.787980102	-1.01E-11	-1.62E-04	-0.0012	-107.9392	-0.001249296
L1	P02	0	Day	-3.47E-06	1.996912607	28005	285	0.983844664	L1_P02_0	2.13	2.13E-06	3.42E-05	2.04E-11	H	0.168215138	0.12939626	7.192877161	-2.50E-11	-4.00E-04	-0.0031	-266.7665	-0.003087576
L4	P02	13	Night	-3.93E-06	1.888914134	36001	277	0.964088912	L4_P02_13	5.7	5.70E-06	9.14E-05	4.26E-11	H	0.12939626	0.12939626	5.692779758	-2.24E-11	-3.58E-04	-0.0028	-238.8035	-0.002763929
L4	P02	8	Day	5.19E-06	1.761562637	26995	289	0.934041134	L4_P02_8	5.46	5.46E-06	8.76E-05	5.44E-11	H	0.12939626	0.12939626	5.45640136	2.83E-11	4.53E-04	0.0035	302.7286	0.003503803
L4	P02	15	Night	-4.06E-06	1.924861187	36004	278	0.931778904	L4_P02_15	5.68	5.68E-06	9.11E-05	4.24E-11	H	0.12939626	0.12939626	5.672302133	-2.30E-11	-3.68E-04	-0.0028	-245.9862	-0.002847062
L4	P02	11	Night	-4.09E-06	1.903187551	31499	275	0.919760956	L4_P02_11	5.74	5.74E-06	9.21E-05	4.90E-11	H	0.12939626	0.12939626	5.734181793	-2.35E-11	-3.75E-04	-0.0029	-250.6775	-0.002901359
L3	P02	1	Day	-7.61E-06	2.149112467	24003	299	0.914758902	L3_P02_1	2.03	2.03E-06	3.26E-05	2.27E-11	H	0.168215138	0.12939626	6.856086926	-5.22E-11	-8.35E-04	-0.0065	-557.6932	-0.006454782
L4	P02	9	Night	-3.38E-06	1.812914608	40505	278	0.89223916	L4_P02_9	5.68	5.68E-06	9.11E-05	3.77E-11	H	0.12939626	0.12939626	5.672302133	-1.92E-11	-3.07E-04	-0.0024	-204.7898	-0.002370252
L2	P02	8	Day	-2.25E-06	2.002908826	38403	304	0.882292276	L2_P02_8	1.99	1.99E-06	3.19E-05	1.39E-11	H	0.168215138	0.12939626	6.743322339	-1.52E-11	-2.42E-04	-0.0019	-161.8704	-0.001873499
L3	P02	0	Night	1.95E-06	2.05077932	33599	282	0.868561967	L3_P02_0	2.15	2.15E-06	3.45E-05	1.72E-11	H	0.168215138	0.12939626	7.269397131	1.41E-11	2.26E-04	0.0017	151.1057	0.001748909
L4	P02	7	Night	-4.36E-06	1.918391433	36902	275	0.858088513	L4_P02_7	5.74	5.74E-06	9.21E-05	4.18E-11	H	0.12939626	0.12939626	5.734181793	-2.50E-11	-4.00E-04	-0.0031	-267.3192	-0.003093973
L3	P02	2	Night	-6.01E-07	1.967320253	33607	283	0.843720516	L3_P02_2	2.14	2.14E-06	3.43E-05	1.71E-11	H	0.168215138	0.12939626	7.243710215	-4.35E-12	-6.96E-05	-0.0005	-46.4878	-0.000538053
L4	P02	0	Day	-4.31E-06	1.967264048	31500	306	0.834126877	L4_P02_0	5.16	5.16E-06	8.28E-05	4.40E-11	H	0.12939626	0.12939626	5.153267951	-2.22E-11	-3.56E-04	-0.0027	-237.4128	-0.002747833
L2	P02	0	Day	-1.75E-06	1.994154274	38399	302	0.826434764	L2_P02_0	2.01	2.01E-06	3.22E-05	1.41E-11	H	0.168215138	0.12939626	6.787980102	-1.19E-11	-1.90E-04	-0.0015	-127.1539	-0.001471689
L2	P02	6	Day	-1.44E-06	1.967351611	38402	310	0.813239752	L2_P02_6	1.96	1.96E-06	3.14E-05	1.37E-11	H	0.168215138	0.12939626	6.612806422	-9.55E-12	-1.53E-04	-0.0012	-101.9941	-0.001180487
L3	P02	9	Day	-8.09E-07	1.999423406	33597	296	0.8113733	L3_P02_9	2.05	2.05E-06	3.29E-05	1.64E-11	H	0.168215138	0.12939626	6.925574294	-5.60E-12	-8.97E-05	-0.0007	-59.8757	-0.000693006
L1	P02	9	Night	1.35E-06	1.918684795	33595	270	0.807594188	L1_P02_9	2.24	2.24E-06	3.59E-05	1.79E-11	H	0.168215138	0.12939626	7.592481448	1.03E-11	1.64E-04	0.0013	109.7597	0.001270367
L4	P02	12	Day	6.65E-06	1.764233486	31499	303	0.806258384	L4_P02_12	5.21	5.21E-06	8.36E-05	4.45E-11	H	0.12939626	0.12939626	5.204290406	3.46E-11	5.53E-04	0.0043	369.5304	0.004276972
L3	P02	10	Night	9.23E-07	1.971015986	33600	274	0.797823127	L3_P02_10	2.21	2.21E-06	3.54E-05	1.77E-11	H	0.168215138	0.12939626	7.481642303	6.90E-12	1.10E-04	0.0009	73.7593	0.000853695
L1	P02	10	Day	-4.07E-06	2.019469043	24002	294	0.777375789	L1_P02_10	2.06	2.06E-06	3.30E-05	2.31E-11	H	0.168215138	0.12939626	6.972687044	-2.84E-11	-4.54E-04	-0.0035	-303.2079	-0.003509351
L4	P02	2	Day	3.85E-06	1.785693915	27000	299	0.724329411	L4_P02_2	5.28	5.28E-06	8.47E-05	5.26E-11	H	0.12939626	0.12939626	5.27391302	2.03E-11	3.25E-04	0.0025	216.9055	0.00251048
L4	P02	3	Night	-1.38E-06	1.847140203	35992	283	0.710565276	L4_P02_3	5.57	5.57E-06	8.93E-05	4.16E-11	H	0.12939626	0.12939626	5.572084781	-7.67E-12	-1.23E-04	-0.0009	-81.9036	-0.000947959
L1	P02	15	Night	6.14E-07	1.942658671	38403	272	0.70843529	L1_P02_15	2.23	2.23E-06	3.58E-05	1.56E-11	H	0.168215138	0.12939626	7.536654378	4.63E-12	7.41E-05	0.0006	49.4645	0.000572506
L1	P02	6	Day	-2.13E-06	1.956846355	23999	299	0.700325697	L1_P02_6	2.03	2.03E-06	3.26E-05	2.27E-11	H	0.168215138	0.12939626	6.856086926	-1.46E-11	-2.34E-04	-0.0018	-156.0306	-0.00180591
L1	P02	2	Day	-1.39E-06	1.942472617	28799	295	0.671363163	L1_P02_2	2.05	2.05E-06	3.29E-05	1.91E-11	H	0.168215138	0.12939626	6.949050817	-9.68E-12	-1.55E-04	-0.0012	-103.4249	-0.001197048
L3	P02	20	Night	9.18E-07	1.960343395	33599	279	0.668600257	L3_P02_20	2.17	2.17E-06	3.48E-05	1.74E-11	H	0.168215138	0.12939626	7.347562691	6.75E-12	1.08E-04	0.0008	72.0901	0.000834376
L3	P02	6	Night	5.50E-07	1.979918021	33601	277	0.631589167	L3_P02_6	2.19	2.19E-06	3.51E-05	1.75E-11	H	0.168215138	0.12939626	7.400613686	4.07E-12	6.52E-05	0.0005	43.5094	0.000503581
L3	P02	13	Day	1.74E-06	1.993913665	19198	286	0.616224787	L3_P02_13	2.12	2.12E-06	3.40E-05	2.97E-11	H	0.168215138	0.12939626	7.167727241	1.25E-11	2.00E-04	0.0015	133.2436	0.001542171
L3	P02	24	Night	6.19E-07	1.973574381	33606	278	0.612683281	L3_P02_24	2.18	2.18E-06	3.50E-05	1.74E-11	H	0.168215138	0.12939626	7.373992773	4.57E-12	7.31E-05	0.0006	48.7832	0.00056462
L3	P02	14	Night	7.73E-07	1.983409718	33598	281	0.591926225	L3_P02_14	2.16	2.16E-06	3.46E-05	1.73E-11	H	0.168215138	0.12939626	7.295266872	5.64E-12	9.02E-05	0.0007	60.2213	0.000697006
L3	P02	22	Night	4.72E-07	1.963203635	33602	277	0.542395696	L3_P02_22	2.19	2.19E-06	3.51E-05	1.75E-11	H	0.168215138	0.12939626	7.400613686	3.49E-12	5.59E-05	0.0004	37.3156	0.000431894
L3	P02	4	Night	9.75E-07	1.969730733	33598	277	0.533347331	L3_P02_4	2.19	2.19E-06	3.51E-05	1.75E-11	H	0.168215138	0.12939626	7.400613686	7.21E-12	1.15E-04	0.0009	77.0628	0.00089193
L4	P02	1	Night	-7.27E-07	1.805228792	40501	278	0.51405519	L4_P02_1	5.68	5.68E-06	9.11E-05	3.77E-11	H	0.12939626	0.12939626	5.672302133	-4.13E-12	-6.60E-05	-0.0005	-44.0816	-0.000510203
L3	P02	3	Day	1.22E-06	1.949274551	23998	290	0.498419298	L3_P02_3	2.09	2.09E-06	3.35E-05	2.34E-11	H	0.168215138	0.12939626	7.068862038	8.61E-12	1.38E-04	0.0011	92.0305	0.001065168
L2	P02	7	Night	6.25E-07	1.972593291	28797	282	0.488928197	L2_P02_7	2.15	2.15E-06	3.45E-05	2.01E-11	H	0.168215138	0.12939626	7.269397131	4.55E-12	7.27E-05	0.0006	48.5618	0.000562058
L2	P02	1	Night	-7.25E-07	1.972784533	28804	280	0.482299109	L2_P02_1	2.16	2.16E-06	3.46E-05	2.02E-11	H	0.168215138	0.12939626	7.321321396	-5.31E-12	-8.50E-05	-0.0007	-56.7417	-0.000656732
L4	P02	4	Day	4.60E-06	1.785678168	22496	289	0.452229724	L4_P02_4	5.46	5.46E-06	8.76E-05	6.52E-11	H	0.12939626	0.12939626	5.45640136	2.51E-11	4.01E-04	0.0031	267.9370	0.003101123
L2	P02	2	Day	-8.61E-07	1.969896125	38399	307	0.417437544	L2_P02_2	1.97	1.97E-06	3.16E-05	1.38E-11	H	0.168215138	0.12939626	6.677426681	-5.75E-12	-9.19E-05	-0.0007	-61.3869	-0.000710496
L3	P02	5	Day	-1.08E-06	2.007541037	28801	300	0.40373085	L3_P02_5	2.02	2.02E-06	3.24E-05	1.89E-11	H	0.168215138	0.12939626	6.833233303	-7.41E-12	-1.19E-04	-0.0009	-79.1338	-0.0009159
L3	P02	21	Day	7.53E-07	1.960784262	33598	298	0.381686317	L3_P02_21	2.03	2.03E-06	3.26E-05	1.62E-11	H	0.168215138	0.12939626	6.879093929	5.18E-12	8.29E-05	0.0006	55.3666	0.000640817
L1	P02	13	Night	7.30E-07	1.922189807	28799	271	0.372484002	L1_P02_13	2.24	2.24E-06	3.59E-05	2.09E-11	H	0.168215138	0.12939626	7.564464911	5.52E-12	8.84E-05	0.0007	59.0040	0.000682917
L1	P02	14	Day	-7.75E-07	1.9446003	28798	295	0.360666869	L1_P02_14	2.05	2.05E-06	3.29E-05	1.91E-11	H	0.168215138	0.12939626	6.949050817	-5.39E-12	-8.62E-05	-0.0007	-57.5311	-0.000665869
L3	P02	11	Day	-9.62E-07	2.016440189	33597	298	0.283514064	L3_P02_11	2.03	2.03E-06	3.26E-05	1.62E-11	H	0.168215138	0.12939626	6.879093929	-6.62E-12	-1.06E-04	-0.0008	-70.7155	-0.000818467
L3	P02	19	Day	-3.51E-07	1.976762442	33599	290	0.252924537	L3_P02_19	2.09	2.09E-06	3.35E-05	1.67E-11	H	0.168215138	0.12939626	7.068862038	-2.48E-12	-3.97E-05	-0.0003	-26.4756	-0.00030643
L2	P02	3	Night	9.13E-07	1.955191918	28798	279	0.242025434	L2_P02_3	2.17	2.17E-06	3.48E-05	2.03E-11	H	0.168215138	0.12939626	7.347562691	6.71E-12	1.07E-04	0.0008	71.6687	0.000829498
L3	P02	7	Day	9.11E-07	1.992684438	14400	286	0.187713225	L3_P02_7	2.12	2.12E-06	3.40E-05	3.96E-11	H	0.168215138	0.12939626	7.167727241	6.53E-12	1.04E-04	0.0008	69.7695	0.000807517
L4	P02	10	Day	3.65E-06	1.861818907	31507	299	0.184537149	L4_P02_10	5.28	5.28E-06	8.47E-05	4.51E-11	H	0.12939626	0.12939626	5.27391302	1.93E-11	3.08E-04	0.0024	205.7553	0.002381427
L4	P02	6	Day	1.74E-06	1.863713299	22500	293	0.144699	L4_P02_6	5.38	5.38E-06	8.63E-05	6.43E-11	H	0.12939626	0.12939626	5.381911239	9.38E-12	1.50E-04	0.0012	100.2058	0.001159789
L3	P02	25	Day	-7.65E-07	2.032792422	14401	303	0.121825965	L3_P02_25	2	2.00E-06	3.21E-05	3.73E-11	H	0.168215138	0.12939626	6.765577528	-5.18E-12	-8.28E-05	-0.0006	-55.3067	-0.000640124
